iter	Passed	Remaining
0	1	115
1	2	131
2	4	131
3	4	118
4	6	117
5	7	113
6	8	110
7	9	107
8	10	106
9	11	102
10	12	100
11	13	97
12	14	96
13	15	94
14	16	94
15	17	92
16	18	90
17	19	89
18	20	87
19	21	86
20	22	84
21	23	83
22	24	81
23	25	80
24	26	78
25	27	76
26	27	75
27	28	73
28	29	72
29	30	71
30	31	70
31	32	68
32	33	67
33	33	65
34	34	64
35	35	63
36	36	61
37	36	60
38	37	58
39	38	57
40	38	55
41	38	53
42	39	52
43	40	51
44	40	49
45	41	48
46	41	47
47	42	46
48	43	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	25
68	55	25
69	56	24
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
